structure,unit_cells,framework_mass,average_volume,selectivity_(n_co2/n_n2)/(p_co2/p_n2),loading_mol_kg_co2_avg,loading_mol_kg_co2_err,loading_mol_kg_n2_avg,loading_mol_kg_n2_err,loading_mg_g_co2_avg,loading_mg_g_co2_err,loading_mg_g_n2_avg,loading_mg_g_n2_err,loading_g_L_co2_avg,loading_g_L_co2_err,loading_g_L_n2_avg,loading_g_L_n2_err,loading_num_molecules_co2_avg,loading_num_molecules_co2_err,loading_num_molecules_n2_avg,loading_num_molecules_n2_err
EGIFUV_clean_pacmof,2,11929.072,18947.69173,6.459010211623452,0.25189,0.00624,0.22099,0.00773,11.08294,0.27471,6.1908,0.21643,23.17311,0.57439,12.94423,0.45253,3.00484,0.07448,2.63625,0.09216
EGOXII_clean_pacmof,12,35637.216,34157.45128,128.62534995032965,1.67561,0.05498,0.07382,0.0016,73.72467,2.41898,2.06787,0.04482,255.45256,8.38164,7.16507,0.15529,59.71395,1.95927,2.63063,0.05701
EHAGUR_clean_pacmof,27,48314.907,36497.37651,1571.5798031664526,4.32092,0.05629,0.01558,0.0027,190.11521,2.47666,0.43634,0.07566,835.8252,10.8884,1.91832,0.33262,208.76476,2.71961,0.75255,0.13049
EHAGAX_clean_pacmof,27,47659.347,37079.62833,1205.2462247655378,4.46012,0.09398,0.02097,0.00373,196.24013,4.13495,0.58742,0.10443,837.68285,17.6507,2.50752,0.44578,212.56662,4.47896,0.99939,0.17767
EGUNAX_clean_pacmof,24,30628.608,35131.54772,2809.939189189189,2.93556,0.05106,0.00592,0.00133,129.16108,2.24638,0.16591,0.03737,373.97341,6.50417,0.48038,0.10821,89.91209,1.56376,0.1814,0.04086
EGATEM_clean_pacmof,4,18490.176,36208.50823,25.37204183894783,1.39691,0.0314,0.31199,0.00553,61.46218,1.38162,8.74003,0.15482,104.23593,2.34314,14.82253,0.26257,25.82903,0.58062,5.76882,0.10219
EHAFEA_clean_pacmof,27,48884.067,36555.23176,2642.1723309303125,4.52744,0.0349,0.00971,0.00212,199.20202,1.53536,0.27193,0.0594,884.689,6.81879,1.20769,0.26381,221.31979,1.70583,0.47452,0.10366
EHAGIF_clean_pacmof,27,48031.407,36623.15649,1152.5518621114188,4.40546,0.06147,0.02166,0.00232,193.83477,2.70444,0.60681,0.06494,844.26796,11.77949,2.64301,0.28283,211.60024,2.95231,1.04042,0.11134
EHAGEB_clean_pacmof,27,47745.963,37112.70713,1529.0944691907941,4.84633,0.10864,0.01796,0.00204,213.23261,4.78019,0.50319,0.05724,911.05949,20.42387,2.14992,0.24457,231.39259,5.18729,0.85763,0.09756
EGATIQ_clean_pacmof,8,36972.672,75244.77099,22.52960977434235,1.2756,0.04678,0.32084,0.00926,56.12468,2.05819,8.98783,0.25938,91.58777,3.35868,14.6669,0.42327,47.16218,1.72952,11.86229,0.34233
EGEJOQ_clean_pacmof,8,60058.4,79781.23891,43.068356673582294,1.17227,0.01726,0.15424,0.00666,51.57826,0.7594,4.32066,0.18666,128.94923,1.89855,10.80196,0.46665,70.40437,1.03658,9.26311,0.40017
EHEKUY_clean_pacmof,8,28891.776,37276.94825,38.73680233185793,1.26642,0.03748,0.18526,0.0043,55.72097,1.64893,5.1899,0.12053,143.42724,4.2444,13.35895,0.31025,36.58913,1.08277,5.35262,0.12431
EHAFOK_clean_pacmof,27,47148.939,37810.89173,2718.2383419689118,5.5548,0.06149,0.01158,0.0016,244.40449,2.70542,0.32426,0.04495,1012.14626,11.20389,1.34287,0.18614,261.90288,2.89912,0.54576,0.07565
EHAGOL_clean_pacmof,27,48121.857,36777.85887,2913.9558476575667,5.08571,0.06335,0.00989,0.00077,223.76527,2.78735,0.27716,0.02167,972.36138,12.11231,1.2044,0.09417,244.73395,3.04855,0.47611,0.03723
EGOZAB_clean_pacmof,27,79930.962,127827.8801,19.538259973796592,1.14916,0.0248,0.33329,0.00597,50.56174,1.09105,9.3366,0.16723,105.00031,2.26576,19.38908,0.34729,91.85362,1.98208,26.64015,0.47717
EHAFIE_clean_pacmof,27,47106.171,37916.09046,1467.5935672514618,5.01917,0.09709,0.01938,0.00211,220.83754,4.27194,0.54276,0.05901,911.18434,17.6262,2.23946,0.24346,236.43397,4.57364,0.91268,0.09922
EHAFUQ_clean_pacmof,27,47328.867,37614.31655,1235.9117782909932,4.72191,0.08354,0.02165,0.00219,207.75847,3.67549,0.60654,0.06135,868.18197,15.35917,2.53461,0.25637,223.48275,3.95367,1.02475,0.10365
EHIHEI_clean_pacmof,27,61423.488,48872.75327,3792.0633104500384,2.92435,0.07924,0.00437,0.00127,128.66808,3.48654,0.12238,0.03563,537.05356,14.55261,0.51081,0.14873,179.62405,4.8673,0.26834,0.07813
EGEJUW_clean_pacmof,8,48337.76,78893.3946,30.169808727072777,0.90371,0.04419,0.16974,0.00316,39.76199,1.9444,4.75508,0.08846,80.90831,3.95649,9.6757,0.18,43.68314,2.13614,8.20497,0.15264
EGATOW_clean_pacmof,12,35946.336,49406.00268,87.35163923087563,3.34305,0.03946,0.21687,0.00475,147.09018,1.73602,6.07541,0.13315,355.41659,4.19478,14.68012,0.32174,120.1704,1.4183,7.79585,0.17086
