structure,unit_cells,selectivity_(n_co2/n_n2)/(p_co2/p_n2),loading_mol_kg_co2_avg,loading_mol_kg_co2_err,loading_mol_kg_n2_avg,loading_mol_kg_n2_err,loading_mg_g_co2_avg,loading_mg_g_co2_err,loading_mg_g_n2_avg,loading_mg_g_n2_err,loading_g_L_co2_avg,loading_g_L_co2_err,loading_g_L_n2_avg,loading_g_L_n2_err,loading_num_molecules_co2_avg,loading_num_molecules_co2_err,loading_num_molecules_n2_avg,loading_num_molecules_n2_err
RUVBOB_clean_pacmof,12,34.10803050273019,1.27869,0.02569,0.21244,0.00419,56.261,1.13016,5.95132,0.11731,155.02176,3.11405,16.39827,0.32322,56.2481,1.1299,9.34517,0.1842
RUSWUZ_clean_pacmof,27,181.48481848184818,4.85205,0.05718,0.1515,0.00424,213.48419,2.51599,4.24397,0.11883,516.7376,6.08994,10.27251,0.28762,141.64129,1.66929,4.42253,0.12383
RUSWIN_clean_pacmof,27,184.9154874213836,4.70425,0.0352,0.14416,0.01007,206.9815,1.54889,4.03851,0.2822,527.15511,3.94481,10.28555,0.71874,141.9655,1.06236,4.35057,0.30401
RUVCES_clean_pacmof,12,26.171601346340346,0.53972,0.01173,0.11686,0.00229,23.7472,0.51599,3.27355,0.06407,57.8704,1.25743,7.97742,0.15614,11.68477,0.25389,2.52988,0.04952
RUWWOW01_clean_pacmof,27,411.92062855232365,3.62369,0.08076,0.04985,0.00587,159.43801,3.55323,1.3964,0.16442,474.16325,10.56719,4.15284,0.48897,85.731,1.9106,1.17931,0.13886
RUVRUX_clean_pacmof,4,41.286531986531976,0.28852,0.01021,0.0396,0.00059,12.69441,0.44935,1.10944,0.01645,45.5467,1.61225,3.98058,0.05902,10.38369,0.36756,1.42533,0.02113
RUVKOJ_clean_pacmof,18,1013.9842926063053,5.31626,0.07752,0.02971,0.00392,233.90915,3.41078,0.83224,0.10989,777.77984,11.3413,2.76732,0.36541,123.65336,1.80307,0.69101,0.09124
RUSXAG_clean_pacmof,27,193.84197230761893,4.78459,0.05449,0.13987,0.00364,210.51619,2.39751,3.91814,0.10192,533.53129,6.07623,9.9301,0.2583,143.03346,1.62897,4.18124,0.10876
RUWXAJ_clean_pacmof,27,150.53818984547462,2.0057,0.02046,0.0755,0.00296,88.24818,0.90012,2.11495,0.08299,270.45937,2.75866,6.4818,0.25435,49.40286,0.5039,1.8596,0.07297
RUWXEN_clean_pacmof,27,399.92988133764834,3.70735,0.06655,0.05253,0.00487,163.11884,2.92832,1.47144,0.13641,478.92229,8.59765,4.32021,0.40051,87.7102,1.57458,1.24269,0.1152
